,id,date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,heat_source,sewer_system,sqft_garage,sqft_patio,yr_built,yr_renovated,lat,long,street address,city,zipcode,floodzones_in_zipcode,area_flood_score_max,area_flood_score_min,avg_area_flood_score,price,grade score,has_basement,on_waterfront,near_greenbelt,view score,nuisance,condition score
11735,4305600340,2022-01-31,5,3.0,2500,4790,2.0,Gas,PUBLIC,430,30,2010,0,47.48011500000001,-122.126555,16013 SE 137th Ter,Renton,98059,"['X', 'AE', 'C']",2.0,1.6666666666666667,1.8333333333333333,1365000.0,8,0,0,0,0,0,3
11736,3394400055,2022-05-17,3,2.0,1590,10440,1.0,Oil,PUBLIC,310,0,1955,0,47.582395,-122.19256,11035 Southeast 31st Street,Bellevue,98004,"['X', 'AE']",2.5,2.0,2.25,2012000.0,7,0,0,0,0,0,4
11737,2114700460,2021-06-11,3,1.5,1070,5150,1.0,Gas,PUBLIC,0,0,1940,0,47.533505,-122.34906,1022 Southwest Portland Street,Seattle,98106,"['X', 'AE']",2.5,2.0,2.25,580000.0,6,0,0,0,0,0,5
11738,4107100301,2021-07-07,3,2.5,2920,10056,2.0,Gas,PUBLIC,780,0,1993,0,47.621425,-122.208217,1201 100th Avenue Northeast,Bellevue,98004,"['X', 'AE']",2.5,2.0,2.25,3100000.0,10,0,0,0,0,0,3
11739,7140200080,2021-07-25,4,2.5,1640,7360,1.0,Gas,PUBLIC,420,30,1980,0,47.369345,-122.16678,13018 Southeast 259th Place,Kent,98030,"['X', 'AE', 'AH']",2.6666666666666665,2.333333333333333,2.5,585000.0,7,0,0,0,0,0,4
11740,3303951530,2021-08-31,4,3.0,2220,7645,2.0,Gas,PUBLIC,560,60,1994,0,47.38011,-122.03543,24720 230th Way Southeast,Maple Valley,98038,"['AE', 'X', 'A05', 'B', 'A', 'C', 'A01']",2.4285714285714284,2.2857142857142856,2.3571428571428568,775000.0,8,0,0,0,0,0,3
11741,8155850130,2021-08-17,3,2.5,3080,15014,2.0,Gas,PRIVATE,830,0,1992,0,47.61957,-122.01182,24515 Northeast 11th Place,Sammamish,98074,"['X', 'AE', 'C']",2.0,1.6666666666666667,1.8333333333333333,1520000.0,10,0,0,0,0,0,3
11742,2472920240,2022-04-01,3,2.5,2520,7583,2.0,Gas,PUBLIC,530,630,1987,0,47.43849,-122.15019,18214 143rd Avenue Southeast,Renton,98058,"['AE', 'X', 'A', 'A05', 'C', 'A07', 'B']",2.4285714285714284,2.2857142857142856,2.3571428571428568,1050000.0,9,0,0,0,0,0,4
11743,1721800630,2021-11-10,2,1.0,700,3570,1.0,Gas,PUBLIC,0,0,1945,0,47.50893,-122.33768,10452 3rd Avenue Southwest,Seattle,98146,"['X', 'A', 'VE', 'C', 'AO']",2.4,2.2,2.3,292000.0,6,0,0,0,0,0,3
11744,7950302986,2021-07-20,2,1.0,1030,4300,1.0,Gas,PUBLIC,0,100,1965,0,47.56586,-122.28163,4142 41st Ave S,Seattle,98118,['X'],2.0,1.0,1.5,860000.0,7,1,0,0,0,0,3
11745,2202500105,2022-01-03,5,4.5,4080,9341,2.0,Gas,PUBLIC,680,330,2021,0,47.57346,-122.135602,3961 154th Avenue Southeast,Bellevue,98006,"['X', 'AE', 'A']",2.6666666666666665,2.333333333333333,2.5,3150000.0,10,0,0,0,0,0,3
11746,1930300726,2021-09-27,4,2.5,2350,3040,2.0,Gas,PUBLIC,460,310,1989,0,47.65725,-122.35287,4119 Dayton Avenue North,Seattle,98103,['X'],2.0,1.0,1.5,1475000.0,8,1,0,0,2,1,3
11747,4034900100,2022-04-07,4,3.0,2540,17476,1.0,Gas,PUBLIC,500,280,1958,0,47.565905,-122.181675,4457 119th Avenue Southeast,Bellevue,98006,"['X', 'AE', 'A']",2.6666666666666665,2.333333333333333,2.5,1400000.0,8,1,0,0,0,1,5
11748,7585000120,2021-11-06,3,1.0,970,9576,1.0,Gas,PRIVATE,440,0,1967,0,47.29577000000001,-122.27202,34042 50th Avenue South,Auburn,98001,"['X', 'AE', 'A', 'AH', 'C']",2.4,2.2,2.3,470000.0,7,0,0,0,0,0,4
11749,2826049082,2021-11-05,3,1.5,960,7735,1.0,Gas,PUBLIC,0,180,1937,0,47.70833,-122.30085,2529 1/2 NE 110th St,Seattle,98125,"['X', 'AE', 'A', 'C']",2.25,2.0,2.125,680000.0,6,1,0,0,0,1,4
11750,7014200045,2021-08-02,3,3.5,2040,1969,2.0,Gas,PUBLIC,420,80,2001,0,47.632485,-122.35464,120 Galer Street,Seattle,98109,['X'],2.0,1.0,1.5,1267120.0,9,1,0,0,0,0,3
11751,7229800135,2021-10-05,3,1.5,1100,24684,1.0,Gas,PRIVATE,440,0,1967,0,47.47511,-122.11404,16929 Southeast 142nd Street,Renton,98059,"['X', 'AE', 'C']",2.0,1.6666666666666667,1.8333333333333333,600000.0,7,0,0,0,0,0,4
